x,y,type,walkable,description
0,3,street,true,"A busy avenue with traffic lights."
1,3,street,true,"A street with a crosswalk and traffic signs."
2,3,street,true,"A two-lane street with cars passing by."
3,3,intersection,true,"Intersection with a traffic light and a bus stop."
4,3,street,true,"A quiet residential street."
5,3,street,true,"A busy avenue with traffic lights."
6,3,street,true,"A street with a crosswalk and traffic signs."
7,3,intersection,true,"A busy intersection with crosswalks in all directions."
8,3,street,true,"A busy avenue with traffic lights."
9,3,street,true,"A street with a crosswalk and traffic signs."
10,3,street,true,"A quiet residential street."
11,3,intersection,true,"A busy intersection with crosswalks in all directions."
12,3,street,true,"A two-lane street with cars passing by."
0,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,4,sidewalk,true,"Sidewalk with a newspaper stand."
3,4,street,true,"A street with a crosswalk and traffic signs."
4,4,sidewalk,true,"A quiet sidewalk lined with trees."
5,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,4,sidewalk,true,"Sidewalk with a newspaper stand."
7,4,street,true,"A quiet residential street."
8,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,4,sidewalk,true,"Sidewalk with a newspaper stand."
10,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,4,street,true,"A quiet residential street."
12,4,sidewalk,true,"A quiet sidewalk lined with trees."
0,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,5,sidewalk,true,"Sidewalk outside a bustling cafe."
3,5,street,true,"A two-lane street with cars passing by."
4,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,5,sidewalk,true,"Sidewalk with a newspaper stand."
7,5,street,true,"A quiet residential street."
8,5,sidewalk,true,"Sidewalk outside a bustling cafe."
10,5,sidewalk,true,"Sidewalk outside a bustling cafe."
11,5,street,true,"A street with a crosswalk and traffic signs."
12,5,sidewalk,true,"Sidewalk outside a bustling cafe."
0,6,sidewalk,true,"A quiet sidewalk lined with trees."
1,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,6,street,true,"A street with a crosswalk and traffic signs."
4,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,6,street,true,"A two-lane street with cars passing by."
8,6,sidewalk,true,"A quiet sidewalk lined with trees."
9,6,sidewalk,true,"Sidewalk outside a bustling cafe."
10,6,sidewalk,true,"Sidewalk with a newspaper stand."
11,6,street,true,"A street with a crosswalk and traffic signs."
12,6,sidewalk,true,"Sidewalk with a newspaper stand."
0,7,street,true,"A street with a crosswalk and traffic signs."
1,7,street,true,"A two-lane street with cars passing by."
2,7,street,true,"A quiet residential street."
3,7,intersection,true,"A busy intersection with crosswalks in all directions."
4,7,street,true,"A quiet residential street."
5,7,street,true,"A busy avenue with traffic lights."
6,7,street,true,"A two-lane street with cars passing by."
7,7,intersection,true,"A four-way intersection with wide sidewalks."
8,7,street,true,"A two-lane street with cars passing by."
9,7,street,true,"A busy avenue with traffic lights."
10,7,street,true,"A two-lane street with cars passing by."
11,7,intersection,true,"Intersection with a traffic light and a bus stop."
12,7,street,true,"A street with a crosswalk and traffic signs."
0,8,sidewalk,true,"A quiet sidewalk lined with trees."
1,8,sidewalk,true,"Sidewalk with a newspaper stand."
2,8,sidewalk,true,"Sidewalk outside a bustling cafe."
3,8,street,true,"A busy avenue with traffic lights."
4,8,sidewalk,true,"A quiet sidewalk lined with trees."
5,8,sidewalk,true,"Sidewalk with a newspaper stand."
6,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,8,street,true,"A busy avenue with traffic lights."
8,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,8,sidewalk,true,"Sidewalk outside a bustling cafe."
10,8,sidewalk,true,"A quiet sidewalk lined with trees."
11,8,street,true,"A two-lane street with cars passing by."
12,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,9,sidewalk,true,"A quiet sidewalk lined with trees."
2,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,9,street,true,"A busy avenue with traffic lights."
4,9,sidewalk,true,"A quiet sidewalk lined with trees."
6,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,9,street,true,"A busy avenue with traffic lights."
8,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,9,sidewalk,true,"Sidewalk outside a bustling cafe."
11,9,street,true,"A quiet residential street."
12,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,10,sidewalk,true,"Sidewalk with a newspaper stand."
1,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,10,sidewalk,true,"A quiet sidewalk lined with trees."
3,10,street,true,"A two-lane street with cars passing by."
4,10,sidewalk,true,"A quiet sidewalk lined with trees."
5,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,10,street,true,"A quiet residential street."
8,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,10,sidewalk,true,"A quiet sidewalk lined with trees."
11,10,street,true,"A busy avenue with traffic lights."
12,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,11,street,true,"A street with a crosswalk and traffic signs."
1,11,street,true,"A two-lane street with cars passing by."
2,11,street,true,"A quiet residential street."
3,11,intersection,true,"A busy intersection with crosswalks in all directions."
4,11,street,true,"A busy avenue with traffic lights."
5,11,street,true,"A two-lane street with cars passing by."
6,11,street,true,"A street with a crosswalk and traffic signs."
7,11,intersection,true,"Intersection with a traffic light and a bus stop."
8,11,street,true,"A quiet residential street."
9,11,street,true,"A quiet residential street."
10,11,street,true,"A street with a crosswalk and traffic signs."
11,11,intersection,true,"A busy intersection with crosswalks in all directions."
12,11,street,true,"A two-lane street with cars passing by."
0,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,12,sidewalk,true,"A quiet sidewalk lined with trees."
2,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,12,street,true,"A quiet residential street."
4,12,sidewalk,true,"Sidewalk outside a bustling cafe."
5,12,sidewalk,true,"A quiet sidewalk lined with trees."
6,12,sidewalk,true,"A quiet sidewalk lined with trees."
7,12,street,true,"A two-lane street with cars passing by."
8,12,sidewalk,true,"Sidewalk with a newspaper stand."
9,12,sidewalk,true,"Sidewalk outside a bustling cafe."
10,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,12,street,true,"A two-lane street with cars passing by."
12,12,sidewalk,true,"Sidewalk outside a bustling cafe."
