x,y,type,walkable,description
7,4,street,true,"A two-lane street with cars passing by."
8,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,4,street,true,"A street with a crosswalk and traffic signs."
12,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,5,sidewalk,true,"Sidewalk outside a bustling cafe."
2,5,sidewalk,true,"Sidewalk with a newspaper stand."
3,5,street,true,"A quiet residential street."
4,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,5,sidewalk,true,"Sidewalk with a newspaper stand."
7,5,street,true,"A quiet residential street."
8,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,5,sidewalk,true,"Sidewalk with a newspaper stand."
11,5,street,true,"A quiet residential street."
12,5,sidewalk,true,"Sidewalk with a newspaper stand."
0,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,6,sidewalk,true,"A quiet sidewalk lined with trees."
3,6,street,true,"A busy avenue with traffic lights."
4,6,sidewalk,true,"Sidewalk outside a bustling cafe."
5,6,sidewalk,true,"Sidewalk with a newspaper stand."
6,6,sidewalk,true,"Sidewalk outside a bustling cafe."
7,6,street,true,"A busy avenue with traffic lights."
8,6,sidewalk,true,"A quiet sidewalk lined with trees."
9,6,sidewalk,true,"Sidewalk with a newspaper stand."
10,6,sidewalk,true,"A quiet sidewalk lined with trees."
11,6,street,true,"A busy avenue with traffic lights."
12,6,sidewalk,true,"Sidewalk with a newspaper stand."
0,7,street,true,"A street with a crosswalk and traffic signs."
1,7,street,true,"A street with a crosswalk and traffic signs."
2,7,street,true,"A busy avenue with traffic lights."
3,7,intersection,true,"A busy intersection with crosswalks in all directions."
4,7,street,true,"A two-lane street with cars passing by."
5,7,street,true,"A quiet residential street."
6,7,street,true,"A busy avenue with traffic lights."
7,7,intersection,true,"A busy intersection with crosswalks in all directions."
8,7,street,true,"A quiet residential street."
9,7,street,true,"A street with a crosswalk and traffic signs."
10,7,street,true,"A busy avenue with traffic lights."
11,7,intersection,true,"Intersection with a traffic light and a bus stop."
12,7,street,true,"A street with a crosswalk and traffic signs."
0,8,sidewalk,true,"Sidewalk outside a bustling cafe."
1,8,sidewalk,true,"A quiet sidewalk lined with trees."
2,8,sidewalk,true,"A quiet sidewalk lined with trees."
3,8,street,true,"A street with a crosswalk and traffic signs."
4,8,sidewalk,true,"Sidewalk with a newspaper stand."
5,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,8,street,true,"A busy avenue with traffic lights."
8,8,sidewalk,true,"Sidewalk outside a bustling cafe."
9,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
11,8,street,true,"A busy avenue with traffic lights."
12,8,sidewalk,true,"Sidewalk outside a bustling cafe."
0,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,9,sidewalk,true,"Sidewalk outside a bustling cafe."
3,9,street,true,"A street with a crosswalk and traffic signs."
4,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,9,street,true,"A street with a crosswalk and traffic signs."
8,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
11,9,street,true,"A street with a crosswalk and traffic signs."
12,9,sidewalk,true,"Sidewalk with a newspaper stand."
0,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,10,street,true,"A busy avenue with traffic lights."
4,10,sidewalk,true,"Sidewalk outside a bustling cafe."
5,10,sidewalk,true,"Sidewalk outside a bustling cafe."
6,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,10,street,true,"A busy avenue with traffic lights."
8,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,10,street,true,"A two-lane street with cars passing by."
12,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,11,street,true,"A quiet residential street."
1,11,street,true,"A quiet residential street."
2,11,street,true,"A busy avenue with traffic lights."
3,11,intersection,true,"Intersection with a traffic light and a bus stop."
4,11,street,true,"A street with a crosswalk and traffic signs."
5,11,street,true,"A street with a crosswalk and traffic signs."
6,11,street,true,"A busy avenue with traffic lights."
7,11,intersection,true,"A busy intersection with crosswalks in all directions."
8,11,street,true,"A street with a crosswalk and traffic signs."
9,11,street,true,"A busy avenue with traffic lights."
10,11,street,true,"A two-lane street with cars passing by."
11,11,intersection,true,"Intersection with a traffic light and a bus stop."
12,11,street,true,"A quiet residential street."
0,12,sidewalk,true,"A quiet sidewalk lined with trees."
1,12,sidewalk,true,"A quiet sidewalk lined with trees."
2,12,sidewalk,true,"Sidewalk with a newspaper stand."
3,12,street,true,"A busy avenue with traffic lights."
4,12,sidewalk,true,"A quiet sidewalk lined with trees."
5,12,sidewalk,true,"A quiet sidewalk lined with trees."
6,12,sidewalk,true,"Sidewalk outside a bustling cafe."
7,12,street,true,"A busy avenue with traffic lights."
8,12,sidewalk,true,"Sidewalk with a newspaper stand."
9,12,sidewalk,true,"Sidewalk outside a bustling cafe."
10,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,12,street,true,"A busy avenue with traffic lights."
12,12,sidewalk,true,"Sidewalk with a newspaper stand."
