x,y,type,walkable,description
11,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
12,5,sidewalk,true,"Sidewalk with a newspaper stand."
0,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,6,sidewalk,true,"A quiet sidewalk lined with trees."
3,6,sidewalk,true,"Sidewalk with a newspaper stand."
4,6,sidewalk,true,"Sidewalk outside a bustling cafe."
5,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,6,sidewalk,true,"A quiet sidewalk lined with trees."
8,6,sidewalk,true,"Sidewalk with a newspaper stand."
9,6,sidewalk,true,"Sidewalk with a newspaper stand."
10,6,sidewalk,true,"A quiet sidewalk lined with trees."
11,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,6,sidewalk,true,"Sidewalk with a newspaper stand."
0,7,sidewalk,true,"Sidewalk outside a bustling cafe."
1,7,building,true,"A small grocery store packed with goods."
2,7,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,7,sidewalk,true,"Sidewalk outside a bustling cafe."
4,7,building,true,"A small grocery store packed with goods."
5,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,7,sidewalk,true,"Sidewalk outside a bustling cafe."
7,7,building,true,"A lively coffee shop with people chatting."
8,7,sidewalk,true,"Sidewalk outside a bustling cafe."
9,7,sidewalk,true,"A quiet sidewalk lined with trees."
10,7,building,true,"A small grocery store packed with goods."
11,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,7,sidewalk,true,"Sidewalk with a newspaper stand."
0,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,8,sidewalk,true,"Sidewalk with a newspaper stand."
2,8,sidewalk,true,"A quiet sidewalk lined with trees."
3,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,8,sidewalk,true,"Sidewalk with a newspaper stand."
5,8,sidewalk,true,"Sidewalk outside a bustling cafe."
6,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,8,sidewalk,true,"Sidewalk with a newspaper stand."
9,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,8,sidewalk,true,"A quiet sidewalk lined with trees."
11,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,9,sidewalk,true,"Sidewalk with a newspaper stand."
1,9,sidewalk,true,"Sidewalk outside a bustling cafe."
2,9,sidewalk,true,"Sidewalk with a newspaper stand."
3,9,sidewalk,true,"A quiet sidewalk lined with trees."
4,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,9,sidewalk,true,"Sidewalk with a newspaper stand."
7,9,sidewalk,true,"Sidewalk outside a bustling cafe."
8,9,sidewalk,true,"Sidewalk outside a bustling cafe."
9,9,sidewalk,true,"A quiet sidewalk lined with trees."
10,9,sidewalk,true,"A quiet sidewalk lined with trees."
11,9,sidewalk,true,"A quiet sidewalk lined with trees."
12,9,sidewalk,true,"Sidewalk outside a bustling cafe."
0,10,sidewalk,true,"A quiet sidewalk lined with trees."
1,10,building,true,"A cozy bakery with the smell of fresh bread."
2,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,10,sidewalk,true,"Sidewalk with a newspaper stand."
4,10,building,true,"A small grocery store packed with goods."
5,10,sidewalk,true,"Sidewalk outside a bustling cafe."
6,10,sidewalk,true,"Sidewalk outside a bustling cafe."
7,10,building,true,"You are inside a bustling apartment building."
8,10,sidewalk,true,"A quiet sidewalk lined with trees."
9,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,10,building,true,"A small grocery store packed with goods."
11,10,sidewalk,true,"A quiet sidewalk lined with trees."
12,10,sidewalk,true,"Sidewalk with a newspaper stand."
0,11,sidewalk,true,"Sidewalk with a newspaper stand."
1,11,sidewalk,true,"Sidewalk with a newspaper stand."
2,11,sidewalk,true,"A quiet sidewalk lined with trees."
3,11,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,11,sidewalk,true,"Sidewalk with a newspaper stand."
5,11,sidewalk,true,"A quiet sidewalk lined with trees."
6,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,11,sidewalk,true,"Sidewalk outside a bustling cafe."
8,11,sidewalk,true,"A quiet sidewalk lined with trees."
9,11,sidewalk,true,"Sidewalk with a newspaper stand."
10,11,sidewalk,true,"A quiet sidewalk lined with trees."
11,11,sidewalk,true,"Sidewalk with a bike rack and a bench."
12,11,sidewalk,true,"A quiet sidewalk lined with trees."
0,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,12,sidewalk,true,"A quiet sidewalk lined with trees."
4,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,12,sidewalk,true,"Sidewalk with a newspaper stand."
6,12,sidewalk,true,"A quiet sidewalk lined with trees."
7,12,sidewalk,true,"A quiet sidewalk lined with trees."
8,12,sidewalk,true,"Sidewalk with a newspaper stand."
9,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,12,sidewalk,true,"Sidewalk with a newspaper stand."
11,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,12,sidewalk,true,"Sidewalk outside a bustling cafe."
